Equipment,Blood pressure cuff,血壓計手袖,hyut3 aat3 gai3 sau2 zau6,"請將手臂放入血壓計手袖。 (Please put your arm into the blood pressure cuff.)"
Equipment,Stretcher,擔架,daam1 gaa2,"救護員用擔架將病人抬出嚟。 (Paramedics carried the patient out on a stretcher.)"
,,,,
Anatomy,English,Cantonese (Traditional),Pronunciation (Jyutping),Example (Chinese + English)
Anatomy,Airway,呼吸道,fu1 kap1 dou6,"佢嘅呼吸道被食物阻塞咗。 (His airway was blocked by food.)"
Anatomy,Artery,動脈,dung6 mak6,"醫生正喺度檢查佢嘅動脈。 (The doctor is checking his arteries.)"
Anatomy,Bladder,膀胱,pong4 gwong1,"我覺得膀胱有啲脹痛。 (I feel some swelling pain in my bladder.)"
Anatomy,Spine / Spinal column,脊柱 / 脊椎,zek3 cyu5 / zek3 zeoi1,"佢嘅脊椎受咗傷。 (His spine was injured.)"
Anatomy,Pancreas,胰臟,ji1 zong6,"胰臟負責分泌胰島素。 (The pancreas is responsible for secreting insulin.)"
Anatomy,Kidney,腎,san6,"佢嘅腎功能有啲問題。 (There is a problem with his kidney function.)"
Anatomy,Tonsils,扁桃腺,bin2 tou4 sin3,"我粒扁桃腺發炎。 (My tonsils are inflamed.)"
Anatomy,Windpipe / Trachea,氣管,hei3 gun2,"佢氣管敏感，成日咳。 (He has a sensitive trachea and coughs often.)"
,,,,
Medications,English / Generic Name,Cantonese (Traditional),Pronunciation (Jyutping),Example / Indication (Chinese + English)
,OTC (Over-the-counter),非處方藥,,
Pain/Fever,Acetaminophen,乙醯胺酚,jyut3 sei1 on1 fan1,用於止痛同退燒。 (Used for pain relief and fever reduction.)
Pain/NSAID,Ibuprofen,布洛芬,bou3 lok6 fan1,用於消炎同止痛。 (Used for inflammation and pain.)
Diabetes,Metformin,二甲雙胍,ji6 gaap3 soeng1 gwaa1,用於二型糖尿病。 (Used for Type 2 diabetes.)
Blood Pressure,Amlodipine,氨氯地平,on1 luk6 dei6 ping4,用於高血壓同胸痛。 (Used for high blood pressure and chest pain.)
Antibiotic,Amoxicillin,阿莫西林,aa3 mok6 sai1 lam4,用於細菌感染。 (Used for bacterial infections.)
Antibiotic,Ciprofloxacin,環丙沙星,waan4 bing2 saa1 sing1,廣譜抗生素。 (A broad-spectrum antibiotic.)
Cholesterol,Atorvastatin,阿托伐他汀,aa3 tok3 fat6 taa1 ting1,用於降低膽固醇。 (Used to lower cholesterol.)
Thyroid,Levothyroxine,左旋甲狀腺素,zo2 syun4 gaap3 zong6 sin3 sou3,甲狀腺功能減退替代治療。 (Thyroid hormone replacement for hypothyroidism.)
Acid Reflux,Lansoprazole,蘭索拉唑,laan4 sok3 laai1 zo6,用於胃酸倒流 (GERD)。 (Used for acid reflux or GERD.)
Allergy,Loratadine,氯雷他定,luk6 leoi4 taa1 ding6,抗敏藥，用於花粉症。 (Antihistamine for allergies and hay fever.)
Asthma,Albuterol,沙丁胺醇,saa1 ding1 on1 seon4,哮喘舒緩噴霧。 (Bronchodilator for asthma relief.)
Anxiety,Alprazolam,阿普唑崙,aa3 pou2 zo6 leon4,用於焦慮症同驚恐症。 (Used for anxiety and panic disorder.)
Hormonal,Estrogen therapy,雌激素治療,ci1 gik1 sou3 zi6 liu4,賀爾蒙治療。 (Hormone therapy.)
Medical Aid,Epinephrine (EpiPen),強心針 / 腎上腺素,koeng4 sam1 zam1,用於嚴重過敏反應。 (Used for severe allergic reactions.)
,,,,
Diseases & Medical Conditions,English,Cantonese (Traditional),Pronunciation (Jyutping),Example (Chinese + English)
Disease,Carpal tunnel syndrome,腕隧道症候群,waan2 seoi6 dou6 zing3 hau6 kwan4,"我有腕隧道症候群。 (I have carpal tunnel syndrome.)"
Infection,Chlamydia,衣原體感染 / 披衣菌感染,ji1 jyun4 tai2 gam2 jim5,佢需要治療衣原體感染。 (He needs treatment for chlamydia.)
Disease,Communicable disease,可傳染疾病,ho2 cyun4 jim5 zat6 bing6,呢種係可傳染疾病。 (This is a communicable disease.)
Condition,Diabetic,有糖尿病的,jau5 tong4 niu6 bing6 dik1,佢係糖尿病患者。 (He is a diabetic.)
Disease,Mumps,腮腺炎,soi1 sin3 jim5,佢細個嗰陣生過腮腺炎。 (He had mumps when he was young.)
Disease,Pertussis (Whooping cough),百日咳,baak3 jat6 kat1,細路仔要打百日咳疫苗。 (Children need a vaccine for whooping cough.)
Infection,Strep throat,鏈球菌性喉炎,lin6 kau4 gwan1 sing3 hau4 jim5,"我喉嚨痛，醫生話係鏈球菌性喉炎。 (I have a sore throat, the doctor said it's strep throat.)"
Disease,Tetanus,破傷風,po3 soeng1 fung1,你要打支破傷風針。 (You need a tetanus shot.)
Condition,Glaucoma,青光眼,cing1 gwong1 ngaan5,佢正喺度接受青光眼治療。 (He is undergoing treatment for glaucoma.)
Disease,Lou Gehrig's disease (ALS),肌萎縮側索硬化症,gei1 wai2 suk1 zak1 sok3 ngaang6 faa3 zing3,呢個病人患有ALS。 (This patient has ALS.)
,,,,
Medical Professionals (Specialists),English,Cantonese (Traditional),Pronunciation (Jyutping),Example (Chinese + English)
Specialist,Allergist / Immunologist,過敏症專家,gwo3 man5 zing3 zyun1 gaa1,我要去睇過敏症專家。 (I need to see an allergist.)
Specialist,Anesthesiologist,麻醉醫師,maa4 zeoi3 ji1 si1,麻醉醫師會幫你打針。 (The anesthesiologist will give you the injection.)
Specialist,Cardiologist,心臟科醫生,sam1 zong6 fo1 ji1 si1,佢正喺度等心臟科醫生。 (He is waiting for the cardiologist.)
Specialist,Dermatologist,皮膚科醫生,pei4 fu1 fo1 ji1 si1,我想預約皮膚科醫生睇下啲疹。 (I want to see a dermatologist for my rash.)
Specialist,Endocrinologist,內分泌科醫師,noi6 fan1 bei3 fo1 ji1 si1,糖尿病病人要睇內分泌科。 (Diabetes patients need to see an endocrinologist.)
Specialist,Gastroenterologist,胃腸病學家,wai6 coeng4 bing6 hok6 gaa1,佢胃痛咗好耐，要去睇胃腸病學家。 (He's had stomach pain for a long time and needs a gastroenterologist.)
Specialist,Nephrologist,腎臟科醫師,san6 zong6 fo1 ji1 si1,腎臟科醫師負責檢查你個腎。 (The nephrologist is responsible for checking your kidneys.)
Specialist,Neurologist,神經病學家,san4 ging1 bing6 hok6 gaa1,神經病學家檢查佢嘅腦部。 (The neurologist examined his brain.)
Specialist,Obstetrician / Gynecologist,婦產科醫生,fu5 caan2 fo1 ji1 si1,佢要去婦產科醫生度做產檢。 (She is going to the OB-GYN for a check-up.)
Specialist,Oncologist,腫瘤學家,zung2 lau4 hok6 gaa1,腫瘤學家負責跟進佢嘅癌症治療。 (The oncologist follows his cancer treatment.)
Specialist,Ophthalmologist,眼科醫生,ngaan5 fo1 ji1 si1,眼科醫生會同你檢查視力。 (The ophthalmologist will check your vision.)
Specialist,Pediatrician,兒科醫生,ji4 fo1 ji1 si1,我個仔今日去睇兒科醫生。 (My son is seeing the pediatrician today.)
Specialist,Podiatrist,足病醫生,zuk1 bing6 ji1 si1,"我隻腳受傷咗，要去睇足病醫生。 (My foot is injured, I need to see a podiatrist.)"
Specialist,Psychiatrist,精神科醫生,zing1 san4 fo1 ji1 si1,佢定期會去睇精神科醫生。 (He sees a psychiatrist regularly.)
Specialist,Rheumatologist,風濕病學家,fung1 sap1 bing6 hok6 gaa1,風濕病學家幫佢醫關節炎。 (The rheumatologist treats his arthritis.)
Specialist,Urologist,泌尿科醫生,bei3 niu6 fo1 ji1 si1,男士通常需要睇泌尿科醫生。 (Men often need to see a urologist.)
,,,,
Bank ,,,,
Credit & Debt,English,Cantonese (Traditional),Pronunciation (Jyutping),Example (Chinese + English)
Insurance,Premium,保費,bou2 fai3,"我每個月都要交保費。 (I have to pay the insurance premium every month.)"
Insurance,Deductible,自付費 / 免賠額,zi6 fu6 fai3 / min5 pui4 ngaak6,"呢份保單嘅自付費好高。 (The deductible for this policy is very high.)"
Insurance,Beneficiary,受益人,sau6 jik1 jan4,佢係我份人壽保險嘅受益人。 (He is the beneficiary of my life insurance.)
Insurance,Claim,索賠,sok3 pui4,"我需要向保險公司提出索賠。 (I need to file a claim with the insurance company.)"
Insurance,Liability insurance,責任保險,zaap3 jam6 bou2 him2,所有司機都必須買責任保險。 (All drivers must have liability insurance.)
Insurance,Adjuster,理賠員,lei5 pui4 jyun4,"理賠員會黎檢查你架車。 (The adjuster will come to inspect your car.)"
,,,,
Car Parts & Types,English,Cantonese (Traditional),Pronunciation (Jyutping),Example (Chinese + English)
Car Type,Sedan,房車,fong4 ce1,呢架係標準房車。 (This is a standard sedan.)
Car Type,SUV,運動型多用途車,wan6 dung6 jing4 do1 jung6 tou4 ce1,我想租一架SUV。 (I want to rent an SUV.)
Car Type,Pickup truck,小型貨車,siu2 jing4 fo3 ce1,佢揸緊一架小型貨車。 (He is driving a pickup truck.)
Car Part,Bonnet (Hood),引擎蓋,jan5 king2 goi3,請打開引擎蓋。 (Please open the hood.)
Car Part,Bumper,保險槓 / 防撞槓,bou2 him2 gong3 / fong4 zong6 gong3,佢撞爛咗我個保險槓。 (He smashed my bumper.)
Car Part,Fender,沙板,saa1 baan2,沙板有啲凹咗。 (The fender is a bit dented.)
Car Part,Windshield,擋風玻璃,dong2 fung1 bo1 lei1,擋風玻璃裂咗。 (The windshield is cracked.)
Car Part,Hubcap,車輪蓋 / 輪轂帽,ce1 leon4 goi3 / leon4 guk1 mou6,"我唔見咗一個車輪蓋。 (I lost a hubcap.)"
Car Part,Trunk,車尾箱,ce1 mei5 soeng1,把行李放進車尾箱。 (Put the luggage in the trunk.)
,,,,
Road Signs & Infrastructure,English,Cantonese (Traditional),Pronunciation (Jyutping),Example (Chinese + English)
Road,Freeway,高速公路,gou1 cuk1 gung1 lou6,喺高速公路上唔好超速。 (Don't speed on the freeway.)
Sign,Blind spot,盲點,maang4 dim2,轉線前要睇清盲點。 (Check your blind spot before changing lanes.)
Sign,Crosswalk,行人過路線,hang4 jan4 gwo3 lou6 sin3,行人喺行人過路線有優先權。 (Pedestrians have right of way at the crosswalk.)
Sign,Detour,改道,goi2 dou6,"前面有工程，需要改道。 (There is construction ahead, a detour is needed.)"
Road,Shoulder,路肩,lou6 gin1,"如果壞車，請停喺路肩。 (If the car breaks down, please pull over to the shoulder.)"
Sign,Yield sign,讓路牌,joeng6 lou6 paai4,睇到讓路牌要減速。 (Slow down when you see a yield sign.)
,,,,
Driving Actions & Violations,English,Cantonese (Traditional),Pronunciation (Jyutping),Example (Chinese + English)
Action,Double park,雙重泊車,soeng1 cung4 bok6 ce1,喺度雙重泊車係違例嘅。 (Double parking here is illegal.)
Violation,Speeding,超速,ciu1 cuk1,佢因為超速被罰款。 (He was fined for speeding.)
Violation,DUI,酒後駕駛 / 受藥物影響駕駛,zau2 hau6 gaa3 sai2 / sau6 joek6 mat6 jing2 hoeng2 gaa3 sai2,"酒後駕駛係嚴重罪行。 (DUI is a serious offense.)"
Violation,Hit and run,事故後不顧而去,si6 gu3 hau6 bat1 gu3 ji4 heoi3,呢單交通意外涉及不顧而去。 (This accident involves a hit and run.)
Action,Skid,打滑,daa2 waat6,"地面好濕，架車打滑。 (The ground is wet, the car is skidding.)"
Violation,Tailgating,緊貼前車,gan2 tip3 cin4 ce1,緊貼前車好容易發生意外。 (Tailgating easily causes accidents.)
,,,,
Accidents & Legal,English,Cantonese (Traditional),Pronunciation (Jyutping),Example (Chinese + English)
Accident,Broadside collision,側邊碰撞,zak1 bin1 pung3 zong6,兩架車發生咗側邊碰撞。 (The two cars had a broadside collision.)
Accident,Fender bender,輕微碰撞,hing1 mei4 pung3 zong6,"只係一宗輕微碰撞，冇人受傷。 (It was just a fender bender, no one was hurt.)"
Legal,Driver's license,駕駛執照,gaa3 sai2 zap1 ziu3,請出示你嘅駕駛執照。 (Please show your driver's license.)
Legal,Impounded,被扣留,bei6 kau3 lau4,架車因為違例被扣留。 (The car was impounded due to a violation.)
Insurance,Deductible,自付費 / 免賠額,zi6 fu6 fai3 / min5 pui4 ngaak6,"我份保險嘅自付費係五百蚊。 (The deductible on my insurance is 500 dollars.)"
Legal,Field sobriety test,現場清醒測試,jin6 coeng4 cing1 sing2 caak1 si3,警察要求佢做現場清醒測試。 (The police asked him to do a field sobriety test.)
,,,,
Administrative & Legal (General),,Cantonese (Traditional),Pronunciation (Jyutping),Example (Chinese + English)
Legal,Advance Directive,預前指示,jyu6 cin4 zi2 si6,我已經簽咗預前指示。 (I have already signed an advance directive.)
Legal,Durable Power of Attorney,持久授權書,ci4 gau2 sau6 kyun4 syu1,"佢係我嘅醫療持久授權書代辦人。 (He is my durable power of attorney for healthcare.)"
Legal,Living will,生前遺囑,saang1 cin4 wai4 zuk1,佢喺生前遺囑入面寫清楚咗。 (He stated it clearly in his living will.)
Admin,Medical record number,醫療記錄號碼,ji1 liu4 gei3 luk6 hou6 maa5,請提供你嘅醫療記錄號碼。 (Please provide your medical record number.)
Admin,Business days,工作天,gung1 zok3 tin1,需要三個工作天處理。 (It takes three business days to process.)
Admin,Effective date,生效日期,saang1 haau6 jat6 kei4,呢份合約嘅生效日期係今日。 (The effective date of this contract is today.)
Legal,Felony,重罪,cung5 zeoi6,佢被控以一項重罪。 (He was charged with a felony.)
Legal,Misdemeanor,輕罪,hing1 zeoi6,呢單只係一宗輕罪。 (This is only a misdemeanor.)
Legal,Arrest,逮捕 / 拘捕,dai6 bou6 / keoi1 bou6,警察喺現場拘捕咗佢。 (The police arrested him at the scene.)
Legal,Bail,保釋金,bou2 sik1 gam1,佢需要交保釋金。 (He needs to pay bail.)
,,,,
Social & Gender Identity,English,Cantonese (Traditional),Pronunciation (Jyutping),Example (Chinese + English)
Identity,Transgender person,跨性別人士,kwaa3 sing3 bit6 jan4 si6,我哋應該尊重跨性別人士。 (We should respect transgender people.)
Identity,Non-binary person,非二元性別人士,fei1 ji6 jyun4 sing3 bit6 jan4 si6,佢係一位非二元性別人士。 (They are a non-binary person.)
Social,Coming out,出櫃,ceot1 gwai6,佢決定向家人出櫃。 (He decided to come out to his family.)
Social,Preferred pronouns,喜歡的代名詞,hei2 fun1 dik1 doi6 ming4 ci4,請話我知你喜歡的代名詞。 (Please tell me your preferred pronouns.)
Social,Deadname,舊名 / 出生名,gau6 ming2 / ceot1 saang1 ming2,唔應該用佢嘅出生名稱呼佢。 (One should not use their deadname to address them.)
Legal,Gender marker change,性別標記更改,sing3 bit6 biu1 gei3 gang2 goi2,我想申請性別標記更改。 (I want to apply for a gender marker change.)
Legal,Legal name change,合法改名手續,hap6 faat3 goi2 ming2 sau2 zuk6,佢完成咗合法改名手續。 (He completed the legal name change process.)
Medical,Hormone therapy,賀爾蒙治療,ho6 ji5 mung4 zi6 liu4,佢正喺度接受賀爾蒙治療。 (He is undergoing hormone therapy.)
Medical,Gender-affirming care,性別肯定護理,sing3 bit6 hang2 ding6 wu6 lei5,呢間診所提供性別肯定護理。 (This clinic provides gender-affirming care.)
Medical,Top surgery,上身重建手術,soeng6 san1 cung4 gin3 sau2 seot6,佢做咗上身重建手術。 (He had top surgery.)
Medical,Bottom surgery,下身重建手術,haa6 san1 cung4 gin3 sau2 seot6,下身重建手術係一個大手術。 (Bottom surgery is a major operation.)
,,,,
Workplace & Benefits,English,Cantonese (Traditional),Pronunciation (Jyutping),Example (Chinese + English)
Employment,Employer,雇主,gu3 zyu2,你嘅雇主係邊位？ (Who is your employer?)
Work,Paystubs / Paychecks,糧單 / 出糧支票,loeng4 daan1 / ceot1 loeng4 zi1 piu3,"我要遞交最近三個月嘅糧單。 (I need to submit the last three months of paystubs.)"
Benefits,Food stamps,糧食券,loeng4 sik6 hyun3,佢正喺度領取糧食券。 (He is receiving food stamps.)
Benefits,Worker's compensation,工傷賠償,gung1 soeng1 pui4 soeng6,佢申請咗工傷賠償。 (He applied for worker's compensation.)
Work,Layoff,解僱 (裁員),gaai2 gu3 (coi4 jyun4),公司因為財困而裁員。 (The company laid off staff due to financial difficulties.)
